排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
67,undefined%,40%,40%,3%,关,开,开,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
68,undefined%,40%,40%,3%,关,开,关,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
69,undefined%,40%,40%,1%,开,关,开,232.2489%,9.4246%,37.1301%,19.6626%,0.352200,0.253826
70,undefined%,40%,40%,1%,开,关,关,232.2489%,9.4246%,37.1301%,19.6626%,0.352200,0.253826
71,undefined%,20%,20%,2%,开,开,开,163.4761%,7.5375%,30.5677%,14.4474%,0.348700,0.246584
72,undefined%,20%,20%,2%,开,开,关,163.4761%,7.5375%,30.5677%,14.4474%,0.348700,0.246584
73,undefined%,40%,40%,1%,开,开,开,406.2689%,12.9369%,50.8461%,30.1476%,0.346200,0.254432
74,undefined%,40%,40%,1%,开,开,关,406.2689%,12.9369%,50.8461%,30.1476%,0.346200,0.254432
75,undefined%,60%,20%,3%,开,关,开,155.8660%,7.3013%,19.7964%,14.0272%,0.342300,0.368820
76,undefined%,60%,20%,3%,开,关,关,155.8660%,7.3013%,19.7964%,14.0272%,0.342300,0.368820
77,undefined%,40%,60%,2%,开,关,开,356.2084%,12.0583%,51.2251%,28.4109%,0.336400,0.235398
78,undefined%,40%,60%,2%,开,关,关,356.2084%,12.0583%,51.2251%,28.4109%,0.336400,0.235398
79,undefined%,60%,20%,2%,开,关,开,152.5624%,7.1968%,20.3010%,14.0380%,0.334600,0.354505
80,undefined%,60%,20%,2%,开,关,关,152.5624%,7.1968%,20.3010%,14.0380%,0.334600,0.354505
81,undefined%,40%,60%,3%,开,关,开,354.3838%,12.0246%,51.7525%,28.4890%,0.334300,0.232348
82,undefined%,40%,60%,3%,开,关,关,354.3838%,12.0246%,51.7525%,28.4890%,0.334300,0.232348
83,undefined%,40%,20%,3%,开,关,开,127.0369%,6.3435%,19.3146%,11.5210%,0.333600,0.328430
84,undefined%,40%,20%,3%,开,关,关,127.0369%,6.3435%,19.3146%,11.5210%,0.333600,0.328430
85,undefined%,20%,40%,2%,开,开,开,368.2327%,12.2772%,47.9990%,29.3291%,0.333400,0.255780
86,undefined%,20%,40%,2%,开,开,关,368.2327%,12.2772%,47.9990%,29.3291%,0.333400,0.255780
87,undefined%,20%,20%,3%,开,开,开,160.6683%,7.4511%,32.9510%,14.8608%,0.333200,0.226127
88,undefined%,20%,20%,3%,开,开,关,160.6683%,7.4511%,32.9510%,14.8608%,0.333200,0.226127
89,undefined%,40%,60%,1%,开,关,开,344.5820%,11.8415%,51.3868%,28.4094%,0.328800,0.230439
90,undefined%,40%,60%,1%,开,关,关,344.5820%,11.8415%,51.3868%,28.4094%,0.328800,0.230439
91,undefined%,80%,20%,2%,开,关,开,179.8601%,8.0252%,25.3640%,16.8508%,0.327900,0.316401
92,undefined%,80%,20%,2%,开,关,关,179.8601%,8.0252%,25.3640%,16.8508%,0.327900,0.316401
93,undefined%,20%,40%,3%,开,开,开,357.7316%,12.0863%,47.9012%,29.6293%,0.323500,0.252317
94,undefined%,20%,40%,3%,开,开,关,357.7316%,12.0863%,47.9012%,29.6293%,0.323500,0.252317
95,undefined%,60%,20%,1%,开,关,开,147.2419%,7.0257%,20.2132%,14.0118%,0.323000,0.347580
96,undefined%,60%,20%,1%,开,关,关,147.2419%,7.0257%,20.2132%,14.0118%,0.323000,0.347580
97,undefined%,80%,20%,1%,开,关,开,175.5494%,7.8995%,25.7097%,16.8552%,0.320300,0.307258
98,undefined%,80%,20%,1%,开,关,关,175.5494%,7.8995%,25.7097%,16.8552%,0.320300,0.307258
99,undefined%,80%,20%,3%,开,关,开,174.4953%,7.8685%,25.5147%,16.8800%,0.318000,0.308391
100,undefined%,80%,20%,3%,开,关,关,174.4953%,7.8685%,25.5147%,16.8800%,0.318000,0.308391
101,undefined%,20%,40%,2%,开,关,开,193.9157%,8.4230%,36.8560%,18.6759%,0.317100,0.228538
102,undefined%,20%,40%,2%,开,关,关,193.9157%,8.4230%,36.8560%,18.6759%,0.317100,0.228538
103,undefined%,40%,20%,2%,开,关,开,121.2824%,6.1389%,20.2524%,11.6023%,0.313600,0.303120
104,undefined%,40%,20%,2%,开,关,关,121.2824%,6.1389%,20.2524%,11.6023%,0.313600,0.303120
105,undefined%,40%,20%,1%,开,关,开,120.6535%,6.1162%,20.1413%,11.5644%,0.312700,0.303665
106,undefined%,40%,20%,1%,开,关,关,120.6535%,6.1162%,20.1413%,11.5644%,0.312700,0.303665
107,undefined%,20%,40%,1%,开,关,开,190.9374%,8.3402%,37.1927%,18.6855%,0.312600,0.224243
108,undefined%,20%,40%,1%,开,关,关,190.9374%,8.3402%,37.1927%,18.6855%,0.312600,0.224243
109,undefined%,20%,20%,1%,开,开,开,152.9730%,7.2099%,33.0155%,15.0721%,0.312500,0.218379
110,undefined%,20%,20%,1%,开,开,关,152.9730%,7.2099%,33.0155%,15.0721%,0.312500,0.218379
111,undefined%,20%,60%,2%,开,关,开,298.7817%,10.9331%,51.1345%,27.7546%,0.303800,0.213811
112,undefined%,20%,60%,2%,开,关,关,298.7817%,10.9331%,51.1345%,27.7546%,0.303800,0.213811
113,undefined%,20%,40%,3%,开,关,开,183.7115%,8.1360%,38.0518%,18.7484%,0.300600,0.213814
114,undefined%,20%,40%,3%,开,关,关,183.7115%,8.1360%,38.0518%,18.7484%,0.300600,0.213814
115,undefined%,20%,40%,1%,关,开,开,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
116,undefined%,20%,40%,1%,关,开,关,330.0235%,11.5625%,50.8642%,30.3243%,0.298900,0.227321
