排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
487,undefined%,20%,0%,1%,开,开,开,20.9571%,1.4374%,7.2156%,3.5634%,-0.298200,0.199207
488,undefined%,20%,0%,1%,开,开,关,20.9571%,1.4374%,7.2156%,3.5634%,-0.298200,0.199207
489,undefined%,20%,0%,3%,开,开,开,19.9166%,1.3717%,7.4927%,3.5707%,-0.316000,0.183072
490,undefined%,20%,0%,3%,开,开,关,19.9166%,1.3717%,7.4927%,3.5707%,-0.316000,0.183072
491,undefined%,20%,0%,2%,开,开,开,19.5162%,1.3463%,7.2636%,3.5944%,-0.321000,0.185349
492,undefined%,20%,0%,2%,开,开,关,19.5162%,1.3463%,7.2636%,3.5944%,-0.321000,0.185349
493,undefined%,20%,0%,1%,关,关,开,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
494,undefined%,20%,0%,1%,关,关,关,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
495,undefined%,20%,0%,2%,关,关,开,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
496,undefined%,20%,0%,2%,关,关,关,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
497,undefined%,20%,0%,3%,关,关,开,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
498,undefined%,20%,0%,3%,关,关,关,15.4176%,1.0813%,8.3269%,4.1143%,-0.344800,0.129856
499,undefined%,20%,0%,2%,开,关,开,15.2572%,1.0708%,6.8405%,3.5967%,-0.397400,0.156538
500,undefined%,20%,0%,2%,开,关,关,15.2572%,1.0708%,6.8405%,3.5967%,-0.397400,0.156538
501,undefined%,20%,0%,1%,开,关,开,15.1166%,1.0616%,6.8655%,3.5515%,-0.405000,0.154628
502,undefined%,20%,0%,1%,开,关,关,15.1166%,1.0616%,6.8655%,3.5515%,-0.405000,0.154628
503,undefined%,20%,0%,3%,开,关,开,14.6742%,1.0324%,7.0396%,3.5713%,-0.411000,0.146656
504,undefined%,20%,0%,3%,开,关,关,14.6742%,1.0324%,7.0396%,3.5713%,-0.411000,0.146656
