排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
98,40%,60%,0%,1%,开,开,关,157.7188%,7.3594%,27.8171%,16.4711%,0.295000,0.264564
99,40%,20%,40%,1%,开,关,开,289.2572%,10.7322%,49.6800%,28.0073%,0.293900,0.216027
100,40%,20%,40%,1%,开,关,关,289.2572%,10.7322%,49.6800%,28.0073%,0.293900,0.216027
101,40%,20%,40%,2%,开,关,开,289.0038%,10.7268%,50.1139%,28.0194%,0.293600,0.214048
102,40%,20%,40%,2%,开,关,关,289.0038%,10.7268%,50.1139%,28.0194%,0.293600,0.214048
103,40%,60%,0%,2%,开,关,开,145.4426%,6.9671%,24.2073%,15.2461%,0.293000,0.287810
104,40%,60%,0%,2%,开,关,关,145.4426%,6.9671%,24.2073%,15.2461%,0.293000,0.287810
105,40%,60%,0%,1%,开,关,开,145.0780%,6.9552%,24.0021%,15.2581%,0.292000,0.289775
106,40%,60%,0%,1%,开,关,关,145.0780%,6.9552%,24.0021%,15.2581%,0.292000,0.289775
107,20%,20%,60%,3%,开,关,开,344.9664%,11.8488%,55.2608%,32.2386%,0.290000,0.214416
108,20%,20%,60%,3%,开,关,关,344.9664%,11.8488%,55.2608%,32.2386%,0.290000,0.214416
109,40%,60%,0%,3%,开,关,开,143.7352%,6.9111%,24.2310%,15.2547%,0.289200,0.285217
110,40%,60%,0%,3%,开,关,关,143.7352%,6.9111%,24.2310%,15.2547%,0.289200,0.285217
111,20%,20%,60%,1%,开,关,开,337.5275%,11.7074%,55.4130%,32.1963%,0.286000,0.211275
112,20%,20%,60%,1%,开,关,关,337.5275%,11.7074%,55.4130%,32.1963%,0.286000,0.211275
113,20%,20%,60%,2%,开,关,开,337.6331%,11.7094%,55.1355%,32.2085%,0.285900,0.212375
114,20%,20%,60%,2%,开,关,关,337.6331%,11.7094%,55.1355%,32.2085%,0.285900,0.212375
115,60%,20%,20%,1%,开,关,开,235.6095%,9.5073%,46.2626%,24.5497%,0.285400,0.205507
116,60%,20%,20%,1%,开,关,关,235.6095%,9.5073%,46.2626%,24.5497%,0.285400,0.205507
117,60%,40%,0%,2%,开,关,开,165.2788%,7.5925%,32.8855%,17.8808%,0.284800,0.230877
118,60%,40%,0%,2%,开,关,关,165.2788%,7.5925%,32.8855%,17.8808%,0.284800,0.230877
119,60%,40%,0%,1%,开,关,开,164.5287%,7.5697%,32.7216%,17.8860%,0.283400,0.231336
120,60%,40%,0%,1%,开,关,关,164.5287%,7.5697%,32.7216%,17.8860%,0.283400,0.231336
121,40%,40%,20%,2%,开,开,开,187.7294%,8.2502%,37.9683%,20.4877%,0.280700,0.217292
122,40%,40%,20%,2%,开,开,关,187.7294%,8.2502%,37.9683%,20.4877%,0.280700,0.217292
123,60%,40%,0%,3%,开,关,开,162.5878%,7.5103%,32.8520%,17.8916%,0.280000,0.228610
124,60%,40%,0%,3%,开,关,关,162.5878%,7.5103%,32.8520%,17.8916%,0.280000,0.228610
125,40%,40%,20%,1%,开,开,开,186.6668%,8.2201%,37.9445%,20.5044%,0.279000,0.216635
126,40%,40%,20%,1%,开,开,关,186.6668%,8.2201%,37.9445%,20.5044%,0.279000,0.216635
127,60%,20%,20%,3%,开,关,开,228.8114%,9.3393%,47.0216%,24.5467%,0.278600,0.198617
128,60%,20%,20%,3%,开,关,关,228.8114%,9.3393%,47.0216%,24.5467%,0.278600,0.198617
129,60%,20%,20%,2%,开,关,开,228.5416%,9.3326%,46.6066%,24.5852%,0.277900,0.200242
130,60%,20%,20%,2%,开,关,关,228.5416%,9.3326%,46.6066%,24.5852%,0.277900,0.200242
131,40%,40%,20%,3%,开,开,开,185.1159%,8.1761%,37.9579%,20.4633%,0.277400,0.215399
132,40%,40%,20%,3%,开,开,关,185.1159%,8.1761%,37.9579%,20.4633%,0.277400,0.215399
133,0%,80%,20%,1%,关,开,开,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
134,0%,80%,20%,1%,关,开,关,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
135,0%,80%,20%,2%,关,开,开,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
136,0%,80%,20%,2%,关,开,关,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
137,0%,80%,20%,3%,关,开,开,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
138,0%,80%,20%,3%,关,开,关,146.1441%,6.9900%,24.6257%,16.2653%,0.276000,0.283850
139,20%,20%,60%,3%,开,开,开,310.7649%,11.1798%,56.4508%,31.9606%,0.271600,0.198045
140,20%,20%,60%,3%,开,开,关,310.7649%,11.1798%,56.4508%,31.9606%,0.271600,0.198045
141,0%,20%,80%,3%,开,关,开,376.5479%,12.4255%,62.9740%,36.9131%,0.268900,0.197312
142,0%,20%,80%,3%,开,关,关,376.5479%,12.4255%,62.9740%,36.9131%,0.268900,0.197312
143,40%,40%,20%,1%,关,开,开,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
144,40%,40%,20%,1%,关,开,关,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
145,40%,40%,20%,2%,关,开,开,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
146,40%,40%,20%,2%,关,开,关,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
147,40%,40%,20%,3%,关,开,开,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
148,40%,40%,20%,3%,关,开,关,177.8647%,7.9673%,38.9216%,20.5539%,0.266000,0.204701
149,0%,20%,80%,1%,开,关,开,369.1019%,12.2928%,63.1005%,36.8705%,0.265600,0.194813
150,0%,20%,80%,1%,开,关,关,369.1019%,12.2928%,63.1005%,36.8705%,0.265600,0.194813
151,40%,60%,0%,1%,关,开,开,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
152,40%,60%,0%,1%,关,开,关,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
153,40%,60%,0%,2%,关,开,开,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
154,40%,60%,0%,2%,关,开,关,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
155,40%,60%,0%,3%,关,开,开,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
156,40%,60%,0%,3%,关,开,关,142.4761%,6.8696%,27.6453%,16.4598%,0.265500,0.248491
157,0%,20%,80%,2%,开,关,开,368.9504%,12.2901%,63.2327%,36.9083%,0.265300,0.194363
158,0%,20%,80%,2%,开,关,关,368.9504%,12.2901%,63.2327%,36.9083%,0.265300,0.194363
159,20%,20%,60%,1%,开,开,开,300.6925%,10.9729%,56.1997%,31.9635%,0.265100,0.195248
160,20%,20%,60%,1%,开,开,关,300.6925%,10.9729%,56.1997%,31.9635%,0.265100,0.195248
161,20%,20%,60%,2%,开,开,开,300.3921%,10.9667%,56.3478%,31.9793%,0.264800,0.194625
162,20%,20%,60%,2%,开,开,关,300.3921%,10.9667%,56.3478%,31.9793%,0.264800,0.194625
163,40%,20%,40%,2%,开,开,开,254.0467%,9.9475%,52.7495%,28.3098%,0.263100,0.188580
164,40%,20%,40%,2%,开,开,关,254.0467%,9.9475%,52.7495%,28.3098%,0.263100,0.188580
165,0%,20%,80%,3%,开,开,开,353.2144%,12.0030%,60.1228%,36.2434%,0.262200,0.199641
166,0%,20%,80%,3%,开,开,关,353.2144%,12.0030%,60.1228%,36.2434%,0.262200,0.199641
167,40%,20%,40%,3%,开,开,开,253.6120%,9.9373%,53.1603%,28.3603%,0.262200,0.186931
168,40%,20%,40%,3%,开,开,关,253.6120%,9.9373%,53.1603%,28.3603%,0.262200,0.186931
169,20%,80%,0%,2%,开,开,开,129.5223%,6.4304%,24.0785%,15.0183%,0.261700,0.267060
170,20%,80%,0%,2%,开,开,关,129.5223%,6.4304%,24.0785%,15.0183%,0.261700,0.267060
171,0%,20%,80%,2%,开,开,开,350.4451%,11.9515%,60.2408%,36.2358%,0.260800,0.198395
172,0%,20%,80%,2%,开,开,关,350.4451%,11.9515%,60.2408%,36.2358%,0.260800,0.198395
173,40%,20%,40%,1%,开,开,开,250.9928%,9.8760%,52.6664%,28.3072%,0.260600,0.187520
174,40%,20%,40%,1%,开,开,关,250.9928%,9.8760%,52.6664%,28.3072%,0.260600,0.187520
175,0%,60%,40%,1%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
176,0%,60%,40%,1%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
177,0%,60%,40%,2%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
178,0%,60%,40%,2%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
179,0%,60%,40%,3%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
180,0%,60%,40%,3%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
181,0%,20%,80%,1%,开,开,开,341.5971%,11.7850%,60.3742%,36.2125%,0.256400,0.195199
182,0%,20%,80%,1%,开,开,关,341.5971%,11.7850%,60.3742%,36.2125%,0.256400,0.195199
183,20%,80%,0%,3%,开,开,开,127.3307%,6.3538%,24.2291%,15.0294%,0.256400,0.262238
184,20%,80%,0%,3%,开,开,关,127.3307%,6.3538%,24.2291%,15.0294%,0.256400,0.262238
185,20%,80%,0%,1%,开,开,开,127.1526%,6.3476%,24.2303%,15.0137%,0.256300,0.261970
186,20%,80%,0%,1%,开,开,关,127.1526%,6.3476%,24.2303%,15.0137%,0.256300,0.261970
187,20%,20%,60%,1%,关,开,开,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
188,20%,20%,60%,1%,关,开,关,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
189,20%,20%,60%,2%,关,开,开,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
190,20%,20%,60%,2%,关,开,关,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
191,20%,20%,60%,3%,关,开,开,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
192,20%,20%,60%,3%,关,开,关,279.0110%,10.5108%,56.1326%,31.2969%,0.256000,0.187249
193,0%,40%,60%,1%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
194,0%,40%,60%,1%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
195,0%,40%,60%,2%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
196,0%,40%,60%,2%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
197,0%,40%,60%,3%,关,关,开,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
198,0%,40%,60%,3%,关,关,关,230.7712%,9.3881%,55.1848%,27.6718%,0.248900,0.170121
199,20%,40%,40%,1%,关,关,开,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
200,20%,40%,40%,1%,关,关,关,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
201,20%,40%,40%,2%,关,关,开,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
202,20%,40%,40%,2%,关,关,关,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
203,20%,40%,40%,3%,关,关,开,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
204,20%,40%,40%,3%,关,关,关,196.1120%,8.4836%,51.0388%,24.1032%,0.248200,0.166219
205,40%,20%,40%,1%,关,开,开,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
206,40%,20%,40%,1%,关,开,关,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
207,40%,20%,40%,2%,关,开,开,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
208,40%,20%,40%,2%,关,开,关,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
209,40%,20%,40%,3%,关,开,开,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
210,40%,20%,40%,3%,关,开,关,231.3487%,9.4024%,53.0209%,28.1729%,0.245000,0.177334
211,20%,60%,20%,1%,关,关,开,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
212,20%,60%,20%,1%,关,关,关,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
213,20%,60%,20%,2%,关,关,开,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
214,20%,60%,20%,2%,关,关,关,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
215,20%,60%,20%,3%,关,关,开,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
216,20%,60%,20%,3%,关,关,关,144.8760%,6.9486%,37.8950%,18.2650%,0.243600,0.183365
217,60%,0%,40%,3%,开,关,开,277.4973%,10.4777%,58.6226%,32.8470%,0.242900,0.178731
218,60%,0%,40%,3%,开,关,关,277.4973%,10.4777%,58.6226%,32.8470%,0.242900,0.178731
219,0%,20%,80%,1%,关,开,开,301.2991%,10.9855%,59.1090%,35.3758%,0.239900,0.185852
